"topic","gamma","docUSYear","TopicLabel","Title","Abstract"
1,0.993706293706294,2024,"Cognitive Function, Memory, and Executive Function","Metabolic Syndrome and Mobility Dysfunction in Older Adults With and Without Histories of Traumatic Brain Injury: The Mediating Role of Cognition","Objective: Older adults are more susceptible than the general population to developing metabolic syndrome (i.e., three or more cardiovascular risk factors [MetS]), physical limitations, and traumatic brain injury (TBI). Recent research has demonstrated that cognition may moderate the negative association between MetS and mobility dysfunction in older adults. This study sought to determine if cognition mediates the relationship between MetS and mobility dysfunction and if this relationship differs in older adults with a history of TBI. Method: Participants (N = 20,156) were from the National Alzheimer’s Coordinating Center’s Uniform Data Set. Mediation models were tested to assess if processing speed, executive functioning, immediate memory, and delayed memory would independently mediate the association between MetS and mobility dysfunction. Results: Investigation of mediation models revealed that MetS had a significant indirect effect on mobility dysfunction through processing speed (b =.0674, 95% CI [.0412,.0953]) and executive functioning (b =.0354, 95% CI [.0228,.0493]). When TBI was included in the model as a moderator, MetS was not found to moderate the mediating effects of any of the cognitive variables. There were no significant indirect effects for immediate or delayed memory in either model. Conclusions: Findings elucidate potential pathways by which MetS contributes to mobility dysfunction in older adults through specific reductions in processing speed and executive functioning capabilities. © 2024 American Psychological Association"
1,0.993571428571429,2017,"Cognitive Function, Memory, and Executive Function","The relation of anxiety and cognition in Parkinson's disease","Objective: Parkinson's disease (PD) has long been conceptualized as a motor disorder, but nonmotor symptoms also manifest in the disease and significantly reduce quality of life. Anxiety and cognitive dysfunction are prevalent nonmotor symptoms, even in early disease stages, but the relation between these symptoms remains poorly understood. We examined self-reported anxiety and neurocognitive function, indexed by measures of executive function (set-shifting and phonemic fluency), categorical fluency, and attention/working memory. We hypothesized that anxiety would correlate with cognitive performance. Method: The Beck Anxiety Inventory and cognitive tests (Trail Making, Verbal Fluency, Digit Span) were administered to 77 nondemented adults with mild to moderate idiopathic PD (39 men, 38 women; M<inf>age</inf> = 62.9 years). Results: Higher anxiety was associated with more advanced disease stage and severity and with poorer set-shifting when using a derived metric to account for motoric slowing. Depression correlated with greater anxiety and disease severity, but not with cognitive performance. Conclusions: Our findings support the association of anxiety with a specific domain of executive function, set-shifting, in nondemented individuals with mild to moderate PD, raising the possibility that treatment of anxiety may alleviate aspects of executive dysfunction in this population. © 2017 American Psychological Association."
1,0.991845493562232,2021,"Cognitive Function, Memory, and Executive Function","Periventricular and deep abnormal white matter differ in associations with cognitive performance at midlife.","Objective: Abnormal white matter (AWM) on magnetic resonance imaging is associated with cognitive performance in older adults. We explored cognitive associations with AWM during late-midlife. Method: Participants were community-dwelling men (n = 242; M = 61.90 years; range = 56–66). Linear-mixed effects regression models examined associations of total, periventricular, and deep AWM with cognitive performance, controlling for multiple comparisons. Models considering specific cognitive domains controlled for current general cognitive ability (GCA). We hypothesized that total AWM would be associated with worse processing speed, executive function, and current GCA; deep AWM would correlate with GCA and periventricular AWM would relate to specific cognitive abilities. We also assessed the potential influence of cognitive reserve by examining a moderation effect of early life (mean age of 20) cognition. Results: Greater total and deep AWM were associated with poorer current GCA. Periventricular AWM was associated with worse executive function, working memory, and episodic memory. When periventricular and deep AWM were modeled simultaneously, both retained their respective significant associations with cognitive performance. Cognitive reserve did not moderate associations. Conclusions: Our findings suggest that AWM contributes to poorer cognitive function in late-midlife. Examining only total AWM may obscure the potential differential impact of regional AWM. Separating total AWM into subtypes while controlling for current GCA revealed a dissociation in relationships with cognitive performance; deep AWM was associated with nonspecific cognitive ability whereas periventricular AWM was associated with specific frontal-related abilities and memory. Management of vascular or other risk factors that may increase the risk of AWM should begin during or before early late-midlife. (PsycInfo Database Record (c) 2021 APA, all rights reserved) Key Points—Question: We describe how abnormal white matter (AWM) associations with cognitive performance in late midlife differ when considering AWM as a global measure or as regional measures (periventricular AWM and deep AWM). Findings: Regional measures of AWM have unique associations with cognitive performance and these associations are present in late-midlife, years before most AWM studies have demonstrated. Importance: These findings suggest that regional measures of AWM may be more precisely linked to cognitive performance than a global measure, and that AWM may have effects on cognitive performance during late midlife. Next Steps: To examine how regional AWM in late midlife predicts decline in cognitive performance in old age. (PsycInfo Database Record (c) 2021 APA, all rights reserved) © 2021 American Psychological Association"
1,0.989142857142857,2020,"Cognitive Function, Memory, and Executive Function","Greater Intraindividual Variability in Neuropsychological Performance Predicts Cognitive Impairment in De Novo Parkinson’s Disease","Introduction: Parkinson’s disease (PD) is a neurodegenerative disorder that commonly results in cognitive impairments and dementia. Intraindividual variability of neuropsychological performance is a sensitive marker of cognitive decline in other neurologic populations. However, studies have not examined the longitudinal utility of intraindividual variability in predicting future cognitive impairments among individuals with PD. In the current study, we hypothesized that increased intraindividual variability would predict future cognitive decline independent of traditional neuropsychological markers of cognitive impairment. Methods: The sample included 423 newly diagnosed PD patients and 175 healthy controls, who were followed up to 5 years (baseline, first, second, third, fourth, and fifth annual follow-up). Participants underwent tests of learning, memory, processing speed, attention, verbal fluency, and visuospatial functioning. Cognitive status (cognitive intact, mild cognitive impairment, and dementia) was classified based on previously established criteria. Multilevel models were computed to examine the longitudinal relationship between intraindividual variability, cognitive status, and general cognitive functioning. Results: Analyses revealed that increased intraindividual variability was predictive of incident cognitive decline among individuals with PD. Specifically, greater dispersion in neuropsychological performance was associated with greater risk of transitioning from cogni-tively intact to mild cognitive impairment or transitioning from mild cognitive impairment to dementia. Additional analyses revealed a significant Intraindividual Variability × Group (PD or control) interaction, meaning that intraindividual variability was predictive of declines in cognitive functioning among PD participants only but not healthy controls. Conclusion: Intraindividual variability may be a harbinger for future cognitive decline among individuals with PD. © 2019. American Psychological Association."
1,0.988690476190476,2024,"Cognitive Function, Memory, and Executive Function","Cognitive Dispersion and Its Functional Relevance in Behavioral Variant Frontotemporal Dementia and Prodromal Behavioral Variant Frontotemporal Dementia","Objective: Executive dysfunction is characteristic of behavioral variant frontotemporal dementia (bvFTD) but can be challenging to detect. Dispersion-based intraindividual variability (IIV-d) is hypothesized to reflect a sensitive index of executive dysfunction and has demonstrated relevance to functional decline but has not been evaluated in bvFTD. Method: We report on 477 demographically matched participants (159 cognitively healthy [CH], 159 clinical Alzheimer’s disease [AD], 159 clinical bvFTD/prodromal bvFTD) who completed the Uniform Data Set 3.0 Neuropsychological Battery. IIV-d was measured using the coefficient of variance (CoV; raw and demographically adjusted) across 12 Uniform Data Set 3.0 Neuropsychological Battery indicators and the informant-rated Functional Activities Questionnaire assessed daily functioning. Results: Analysis of covariance showed that participants in the bvFTD/ prodromal bvFTD group exhibited higher raw and demographically adjusted CoV compared to CH participants, at a very large effect size (d = 1.28–1.47). Demographically adjusted (but not raw) CoV was lower in the bvFTD/prodromal bvFTD group than the AD group, though the effect size was small (d =.38). Both CoV metrics accurately differentiated the bvFTD/prodromal bvFTD and CH groups (areas under the curve =.84), but not bvFTD/prodromal bvFTD and AD groups (areas under the curve =.59). Regression analyses in the bvFTD/prodromal bvFTD group indicated that higher IIV-d on both metrics was associated with greater daily functioning impairment, over and above covariates. Conclusions: Compared to healthy adults, individuals with bvFTD/prodromal bvFTD show greater levels of performance variability across a battery of neuropsychological measures, which interferes with everyday functioning. These data demonstrate the clinical utility and ecological validity of IIV-d in bvFTD/ prodromal bvFTD, though these findings should be replicated in more diverse samples. © (2023), (American Psychological Association). All Rights Reserved."
1,0.988343558282209,2018,"Cognitive Function, Memory, and Executive Function","Traumatic brain injury history is associated with an earlier age of dementia onset in autopsy-confirmed Alzheimer's disease","Objective: To evaluate whether a history of traumatic brain injury (TBI) with reported loss of consciousness (LOC) is a risk factor for earlier onset of Alzheimer's disease (AD) in an autopsy-confirmed sample. Method: Data from 2,133 participants with autopsy-confirmed AD (i.e., at least Braak neurofibrillary tangle stages III to VI and CERAD neuritic plaque score moderate to frequent) were obtained from the National Alzheimer's Coordinating Center (NACC). Participants were categorized by presence/absence of self-reported remote (i.e., > 1 year prior to their first Alzheimer's Disease Center visit) history of TBI with LOC (TBI+ vs. TBI-). Analyses of Covariance (ANCOVA) controlling for sex, education, and race compared groups on clinician-estimated age of symptom onset and age of diagnosis. Results: Average age of onset was 2.34 years earlier (p = .01) for the TBI+ group (n = 194) versus the TBI- group (n = 1900). Dementia was diagnosed on average 2.83 years earlier (p = .002) in the TBI+ group (n = 197) versus the TBI+ group (n = 1936). Using more stringent neuropathological criteria (i.e., Braak stages V-VI and CERAD frequent), both age of AD onset and diagnosis were 3.6 years earlier in the TBI+ group (both p's < .001). Conclusions: History of TBI with reported LOC appears to be a risk factor for earlier AD onset. This is the first study to use autopsy-confirmed cases, supporting previous investigations that used clinical criteria for the diagnosis of AD. Further investigation as to possible underlying mechanisms of association is needed. © 2018 American Psychological Association."
1,0.986574074074074,2023,"Cognitive Function, Memory, and Executive Function","Increased Intraindividual Variability in Reaction Time Performance Is Associated With Emerging Cognitive Decline in Cognitively Unimpaired Adults","Objective: To investigate whether intraindividual variability (IIV) in reaction time (RT) over monthly administered cognitive tasks is increased in cognitively unimpaired older adults who are at risk for cognitive decline, and whether this is independent of mean RT performance. Method: N = 109 cognitively unimpaired individuals (age 77.4 ± 5.0, 61.5% female, Mini-Mental State Examination 29.1 ± 1.3) from the Harvard Aging Brain Study completed the self-administered Computerized Cognitive Composite (C3) monthly at home for up to 1 year (12.7 ± 3.2 C3 assessments). Baseline C3 assessment coincided with routine in-clinic visits, including amyloid and tau positron emission tomography imaging and standardized cognitive testing, with cognitive testing repeated annually (1.6 ± 1.2 years follow-up). The C3 includes two simple RT tasks and two complex RT tasks. IIV estimates were derived by computing intraindividual standard deviations on residual RT scores after regressing out age and session order effects. Cross-sectional associations of IIV with cognition (global cognition, memory, executive functions [EF], processing speed) and amyloid and tau burden were examined using linear regression analyses correcting for demographics and mean RT. The association between IIV and cognitive decline was assessed using linear mixed models correcting for demographic factors, mean RT, and amyloid burden. Results: After adjusting for mean RT, increased IIV on complex RT tasks was independently associated with worse EF performance (β = −0.10, 95% CI [−.16, −0.03], p =.004), greater inferior-temporal tau deposition (β = 0.18, 95% CI [0.02, 0.34], p =.024), and faster cognitive decline in those with elevated amyloid (β = −0.62, 95% CI [−1.18, −0.06], p =.033). Conclusions: Increased variability in monthly RT may reflect subtle EF deficits and provide unique information about short-term cognitive decline in preclinical Alzheimer’s disease. © 2023 American Psychological Association"
1,0.984645669291339,2025,"Cognitive Function, Memory, and Executive Function","Mediating effect of cognitive reserve on associations between processing speed and memory in older adults with and without multiple sclerosis.","Question: Does cognitive reserve mediate the relationship between processing speed and verbal memory in older adults with and without multiple sclerosis? Findings: Cognitive reserve fully mediated the effect of processing speed on immediate recall and partially mediated its effect on delayed recall, irrespective of MS status. Importance: These findings indicate that cognitive reserve may be an important protective factor for memory functioning across neurologic and nonneurologic aging populations. Next Steps: Future research should examine mediation effects of residual-derived cognitive reserve on cognitive outcomes in longitudinal studies across more diverse and representative samples. (PsycInfo Database Record (c) 2025 APA, all rights reserved) © 2025 American Psychological Association; Objective: Slower processing speed is implicated in memory impairment in both aging and multiple sclerosis (MS). Cognitive reserve serves as a buffer against memory decline and dementia, but no studies have reported on its mediating effect on the associations between processing speed and memory. Therefore, we investigated whether cognitive reserve mediated the relationship between processing speed and verbal memory in older adults and whether the presence of MS modified this association. Method: Older adults with MS (n = 104; Mage = 64.84 ± 4.36 years) and healthy controls (HCs: n = 105; Mage = 68.33 ± 7.24 years) underwent neuropsychological testing and brain magnetic resonance imaging. Cognitive reserve was derived using residuals from a regression model predicting a modified total score of the Repeatable Battery for the Assessment of Neuropsychological Status from demographic and brain integrity variables. Processing speed was assessed via the oral Symbol Digit Modalities Test, and memory via the Hopkins Verbal Learning Test–Revised. Results: Cognitive reserve fully mediated the association of Symbol Digit Modalities Test on Hopkins Verbal Learning Test–Revised: immediate recall when fully adjusted for covariates (indirect effect: b = 0.221, 95% bootstrap CI [0.120, 0.322]). For delayed recall, cognitive reserve partially mediated this association in adjusted models (b = 0.221, 95% bootstrap CI [0.124, 0.322]). Group status (i.e., older adults with MS vs. HC) did not significantly moderate the mediating effect of cognitive reserve on either outcome. Conclusions: Cognitive reserve mediated associations between processing speed and memory performance in older adults with and without MS, highlighting its protective role against memory decline. (PsycInfo Database Record (c) 2025 APA, all rights reserved) © 2025 American Psychological Association"
1,0.983333333333333,2022,"Cognitive Function, Memory, and Executive Function","Intraindividual Variability in Neuropsychological Performance Predicts Longitudinal Cortical Volume Loss in Early Parkinson’s Disease","Objective: Cognitive impairment is common among individuals with Parkinson’s disease (PD). Intraindividual variability (IIV) is a measure of variability across multiple tasks of cognitive functioning. Due to the limited amount of research, particularly among individuals with PD, IIV has been an underutilized metric of cognitive functioning both in research and clinical practice. Previous research demonstrated that individuals with PD have greater variability in cognitive performance relative to controls, and that IIV is predictive of future cognitive impairments. The aim of this study is to investigate the association between baseline IIV and change in cortical and subcortical volumes among individuals with PD. Method: The present study used data from 80 newly diagnosed PD patients who were part of a longitudinal cohort study (Parkinson progression marker initiative [PPMI]). Participants completed neuropsychological measures and underwent T1 structural magnetic resonance imaging (MRI) at baseline and the first annual follow-up. Neuropsychological tests assessed attention, processing speed, visuospatial functioning, verbal fluency learning, and memory. T1 scans were processed using standard Freesurfer protocols for extraction of regional volumes. Results: Greater IIV at baseline was predictive of change in cortical volume in posterior temporal/parietal regions over the 1-year period. Baseline IIV predicted cortical volume changes above and beyond the main effect of motor severity and the baseline statistical mean/global cognition score. Conclusion: Our results provide initial evidence that IIV is a marker of longitudinal cortical volume loss. Evidence is building that IIV is a sensitive marker of cognitive impairment and the underlying neurodegeneration among individuals with PD © 2022. American Psychological Association"
1,0.982727272727273,2016,"Cognitive Function, Memory, and Executive Function","Asynchrony in executive networks predicts cognitive slowing in multiple sclerosis","Objective: Cognitive slowing is a core neuropsychological symptom of Multiple Sclerosis (MS). We aimed to assess the extent to which cognitive slowing in MS was predicted by changes in dorsolateral prefrontal networks. Method: We assessed patients with relapsing-remitting MS and healthy controls (HCs) on measures of processing speed. Participants underwent a functional MRI while performing a processing speed task to allow assessment of task-based connectivity. Results: Patients were slower than HCs on the processing speed tasks. Patients showed attenuated connectivity between right and left dorsolateral prefrontal cortex (DLPFC) and task-relevant brain regions compared to HCs during processing speed task performance. Patients' connectivity with DLPFC in these group-disparate networks accounted for significant variability in their performance on processing speed measures administered both in and out of the imaging environment. Specifically, patients who had stronger functional connections with DLPFC in group-disparate networks performed faster than patients with weaker connections with DLPFC in group-disparate networks. Conclusion: Results suggest that MS-related cognitive slowing can be accounted for by systemic alterations in executive functional networks. © 2016 American Psychological Association."
